fold,method,accuracy
1,RF,0.9227941176470589
1,Ada,0.5110294117647058
2,RF,0.9166666666666666
2,Ada,0.5073529411764706
3,RF,0.9424019607843137
3,Ada,0.6200980392156863
4,RF,0.9215686274509803
4,Ada,0.22058823529411764
5,RF,0.9301470588235294
5,Ada,0.5024509803921569
