method,mean_accuracy,sd_accuracy
KNN,0.938482382588087,0.0033556711756656202
LDA,0.9237854693079476,0.010864786981658247
NaiveBayes,0.9284396386841596,0.01026871671765021
QDA,0.94117696176225,0.007349167807687329
