model,true,Anabas testudineus,Coilia dussumieri,Otolithoides biauritus,Otolithoides pama,Pethia conchonius,Polynemus paradiseus,Puntius lateristriga,Setipinna taty,Sillaginopsis panijus
KSVM_polynomial,Anabas testudineus,142,0,0,0,0,0,0,0,0
KSVM_polynomial,Coilia dussumieri,0,124,0,0,0,0,0,0,0
KSVM_polynomial,Otolithoides biauritus,0,0,105,0,0,0,0,35,0
KSVM_polynomial,Otolithoides pama,0,0,1,129,0,0,0,0,0
KSVM_polynomial,Pethia conchonius,0,0,0,0,142,0,0,0,0
KSVM_polynomial,Polynemus paradiseus,0,0,0,0,0,137,0,0,0
KSVM_polynomial,Puntius lateristriga,0,0,0,0,0,0,125,0,0
KSVM_polynomial,Setipinna taty,0,0,39,0,0,0,0,105,0
KSVM_polynomial,Sillaginopsis panijus,0,0,0,0,0,0,0,0,136
