,model,Anabas testudineus,Coilia dussumieri,Otolithoides biauritus,Otolithoides pama,Pethia conchonius,Polynemus paradiseus,Puntius lateristriga,Setipinna taty,Sillaginopsis panijus
Anabas testudineus,Ada,0,0,0,0,0,0,0,143,0
Coilia dussumieri,Ada,0,0,0,0,0,0,70,55,0
Otolithoides biauritus,Ada,0,0,0,0,0,0,0,140,0
Otolithoides pama,Ada,0,0,0,0,0,0,0,131,0
Pethia conchonius,Ada,0,0,0,0,0,143,0,0,0
Polynemus paradiseus,Ada,0,0,0,0,0,0,0,137,0
Puntius lateristriga,Ada,0,0,0,0,0,0,125,0,0
Setipinna taty,Ada,0,0,0,0,0,0,0,144,0
Sillaginopsis panijus,Ada,0,0,0,136,0,0,0,0,0
