method,mean_accuracy,sd_accuracy
KSVM_linear,0.9306320200544047,0.01001702163455279
KSVM_polynomial,0.9306320200544047,0.01001702163455279
KSVM_radial,0.93725238257062,0.00825924210395775
SVM_linear,0.9306320200544047,0.01001702163455279
SVM_polynomial,0.9196043927963072,0.009065543630685584
SVM_radial,0.9296519256838575,0.010420614243479662
