,model,Anabas testudineus,Coilia dussumieri,Otolithoides biauritus,Otolithoides pama,Pethia conchonius,Polynemus paradiseus,Puntius lateristriga,Setipinna taty,Sillaginopsis panijus
Anabas testudineus,RF,143,0,0,0,0,0,0,0,0
Coilia dussumieri,RF,0,125,0,0,0,0,0,0,0
Otolithoides biauritus,RF,0,0,101,0,0,0,0,39,0
Otolithoides pama,RF,0,0,0,131,0,0,0,0,0
Pethia conchonius,RF,0,0,0,0,143,0,0,0,0
Polynemus paradiseus,RF,0,0,0,0,0,137,0,0,0
Puntius lateristriga,RF,0,0,0,0,0,0,125,0,0
Setipinna taty,RF,0,0,47,0,0,0,0,97,0
Sillaginopsis panijus,RF,0,0,0,0,0,0,0,0,136
