method,mean_accuracy,sd_accuracy
ksvm_rbf,0.9357827342289237,0.007202838189325499
svm_linear,0.9298973710050811,0.007778633424564869
svm_poly,0.9360281330019299,0.005988964723710506
svm_rbf,0.9262211967334937,0.006033658696456013
