model,true,Anabas testudineus,Coilia dussumieri,Otolithoides biauritus,Otolithoides pama,Pethia conchonius,Polynemus paradiseus,Puntius lateristriga,Setipinna taty,Sillaginopsis panijus
svm_rbf,Anabas testudineus,142,0,0,0,0,0,0,0,0
svm_rbf,Coilia dussumieri,0,124,0,0,0,0,0,0,0
svm_rbf,Otolithoides biauritus,0,0,85,0,0,0,0,55,0
svm_rbf,Otolithoides pama,0,0,1,129,0,0,0,0,0
svm_rbf,Pethia conchonius,0,0,0,0,142,0,0,0,0
svm_rbf,Polynemus paradiseus,0,0,0,0,0,137,0,0,0
svm_rbf,Puntius lateristriga,0,0,0,0,0,0,125,0,0
svm_rbf,Setipinna taty,0,0,27,0,0,0,0,117,0
svm_rbf,Sillaginopsis panijus,0,0,0,0,0,0,0,0,136
